time_1,Nylon,time_2,Nylon,time_3,Nylon,time_4,Nylon,time_5,Cellulose,time_6,Cellulose,time_7,Cellulose,time_8,Cellulose,time_9,Polyimide,time_10,Polyimide,time_11,Polyimide,time_12,Polyimide,time_13,PET,time_14,PET,time_15,PET,time_16,PET
0, 168787.1, 0, 232867.4, 0, 1144751.0, 0, 392293.1, 0, 415628.4, 0, 296347.5, 0, 189061.2, 0, 357851.1, 0, 274152.9, 0, 328021.9, 0, 262987.6, 0, 371190.1, 0, 275401.1, 0, 362986.4, 0, 409494.9, 0, 258236.0
2, 168805.5, 2, 232870.2, 2, 1144657.0, 2, 392272.8, 2, 415677.1, 2, 296322.5, 2, 189050.0, 2, 357838.6, 2, 274139.3, 2, 328003.4, 2, 262986.3, 2, 371218.5, 2, 275456.6, 2, 362954.6, 2, 409540.5, 2, 258250.7
4, 168830.7, 4, 232867.4, 4, 1144758.0, 4, 392256.9, 4, 415703.0, 4, 296321.2, 4, 189043.2, 4, 357818.0, 4, 274178.8, 4, 328034.7, 4, 263024.1, 4, 371223.3, 4, 275417.9, 4, 363000.4, 4, 409555.5, 4, 258185.2
6, 168842.3, 6, 232896.2, 6, 1144757.0, 6, 392290.6, 6, 415663.9, 6, 296340.4, 6, 189053.2, 6, 357821.2, 6, 274126.9, 6, 328070.7, 6, 263015.9, 6, 371268.9, 6, 275529.3, 6, 362980.3, 6, 409614.7, 6, 258245.5
8, 168902.1, 8, 232897.4, 8, 1144690.0, 8, 392336.6, 8, 415710.0, 8, 296353.6, 8, 189078.4, 8, 357845.5, 8, 274143.6, 8, 328163.5, 8, 262980.3, 8, 371263.9, 8, 275488.7, 8, 363000.8, 8, 409649.5, 8, 258284.1
10, 168858.6, 10, 232880.4, 10, 1144718.0, 10, 392341.9, 10, 415664.2, 10, 296401.9, 10, 189025.6, 10, 357853.7, 10, 274119.3, 10, 328222.6, 10, 262937.8, 10, 371248.3, 10, 275504.7, 10, 362915.2, 10, 409749.1, 10, 258278.2
12, 168892.1, 12, 233007.6, 12, 1144753.0, 12, 392398.3, 12, 415698.6, 12, 296320.9, 12, 189034.7, 12, 357932.0, 12, 274057.5, 12, 328180.9, 12, 262826.2, 12, 371321.3, 12, 275509.5, 12, 362882.7, 12, 409784.7, 12, 258264.3
14, 168855.7, 14, 232960.9, 14, 1144763.0, 14, 392363.4, 14, 415663.7, 14, 296391.4, 14, 189028.1, 14, 357854.7, 14, 274058.1, 14, 328133.8, 14, 262830.5, 14, 371241.4, 14, 275470.5, 14, 362874.5, 14, 409730.6, 14, 258273.7
16, 168918.0, 16, 232963.8, 16, 1144
18, 168865.2, 18, 232962.6, 18, 1144754.0, 18, 392334.2, 18, 415699.3, 18, 296285.7, 18, 189075.4, 18, 357858.7, 18, 274103.0, 18, 328100.8, 18, 262858.7, 18, 371245.1, 18, 275472.5, 18, 362881.9, 18, 409637.8, 18, 258274.0
20, 168820.5, 20, 232895.3, 20, 1144735.0, 20, 392244.5, 20, 415687.7, 20, 296338.6, 20, 189049.8, 20, 357806.5, 20, 274145.5, 20, 328054.5, 20, 262912.8, 20, 371250.3, 20, 275446.5, 20, 362865.3, 20, 409604.4, 20, 258231.9
22, 168853.7, 22, 232897.5, 22, 1144768.0, 22, 392276.5, 22, 415716.8, 22, 296323.4, 22, 189049.7, 22, 357899.6, 22, 274130.9, 22, 328035.9, 22, 262948.6, 22, 371238.1, 22, 275496.4, 22, 362909.8, 22, 409615.9, 22, 258197.6
24, 168768.2, 24, 232868.8, 24, 1144794.0, 24, 392277.6, 24, 415646.6, 24, 296335.8, 24, 189076.5, 24, 357827.6, 24, 274103.4, 24, 328083.7, 24, 262904.3, 24, 371186.1, 24, 275415.3, 24, 362889.2, 24, 409572.4, 24, 258168.8
26, 168843.7, 26, 232902.9, 26, 1144776.0, 26, 392305.4, 26, 415769.5, 26, 296320.5, 26, 189129.2, 26, 357810.1, 26, 274148.0, 26, 328055.2, 26, 263000.9, 26, 371187.9, 26, 275472.2, 26, 362929.3, 26, 409608.6, 26, 258245.6
28, 168793.9, 28, 232875.9, 28, 1144742.0, 28, 392282.4, 28, 415668.4, 28, 296342.5, 28, 189112.6, 28, 357830.4, 28, 274147.2, 28, 328023.8, 28, 262981.6, 28, 371229.8, 28, 275476.5, 28, 362951.1, 28, 409608.2, 28, 258197.2
30, 168747.9, 30, 232923.0, 30, 1144657.0, 30, 392285.1, 30, 415666.9, 30, 296255.5, 30, 189082.0, 30, 357859.7, 30, 274135.9, 30, 327995.0, 30, 262933.6, 30, 371239.7, 30, 275444.4, 30, 362907.3, 30, 409570.0, 30, 258228.8
32, 168737.2, 32, 232878.0, 32, 1144745.0, 32, 392284.2, 32, 415703.9, 32, 296293.6, 32, 189073.5, 32, 357807.5, 32, 274116.6, 32, 328020.8, 32, 262948.2, 32, 371250.4, 32, 275460.3, 32, 362943.2, 32, 409576.5, 32, 258162.8
34, 168748.7, 34, 232897.5, 34, 1144662.0, 34, 392235.1, 34, 415646.5, 34, 296363.8, 34, 189079.1, 34, 357795.0, 34, 274136.5, 34, 328016.6, 34, 262982.3, 34, 371226.9, 34, 275452.0, 34, 362934.1, 34, 409558.2, 34, 258236.4
36, 168845.9, 36, 232893.3, 36, 1144764.0, 36, 392259.1, 36, 415665.6, 36, 296283.9, 36, 189105.8, 36, 357839.1, 36, 274207.1, 36, 328037.4, 36, 262935.3, 36, 371291.9, 36, 275498.0, 36, 363010.5, 36, 409622.0, 36, 258233.3
38, 168764.7, 38, 232895.2, 38, 1144858.0, 38, 392311.0, 38, 415745.5, 38, 296368.3, 38, 189067.1, 38, 357842.8, 38, 274193.9, 38, 328110.5, 38, 262966.1, 38, 371313.9, 38, 275550.8, 38, 362986.4, 38, 409675.9, 38, 258227.2
40, 168827.9, 40, 232944.3, 40, 1144820.0, 40, 392342.1, 40, 415768.9, 40, 296422.9, 40, 189072.4, 40, 357881.0, 40, 274121.3, 40, 328154.9, 40, 262938.2, 40, 371283.3, 40, 275528.9, 40, 362904.3, 40, 409709.3, 40, 258221.0
42, 168899.2, 42, 232998.4, 42, 1144782.0, 42, 392493.9, 42, 415733.3, 42, 296394.6, 42, 189055.8, 42, 357893.6, 42, 274118.0, 42, 328262.0, 42, 262877.0, 42, 371266.0, 42, 275549.0, 42, 362935.2, 42, 409771.9, 42, 258294.7
44, 168891.8, 44, 232996.5, 44, 1144812.0, 44, 392476.8, 44, 415742.2, 44, 296285.2, 44, 189064.5, 44, 357894.1, 44, 274143.7, 44, 328344.8, 44, 262833.0, 44, 371309.6, 44, 275577.5, 44, 362906.6, 44, 409813.6, 44, 258271.1
46, 168867.9, 46, 232939.8, 46, 1144811.0, 46, 392434.8, 46, 415731.0, 46, 296357.5, 46, 189116.3, 46, 357955.6, 46, 274043.0, 46, 328281.1, 46, 262784.2, 46, 371269.5, 46, 275566.7, 46, 362865.8, 46, 409794.1, 46, 258292.5
